disambiguated_entity_id,entity_name,number_of_unique_news_appeared_in
207511085,helen whately,1
4083899255,eric wei,1
2354345270,daniel reardon,1
1981677595,ottar bjornstad,1
3665018387,roberto bernabei,1
2139289320,lucy jones,1
4188969925,freddy sitas,1
132973211,christine jenkins,1
2435129169,zeinab badawi,1
702952755,hishal el khidir,1
789041953,mark e escott,1
2589941946,sheri jacobson,1
2046854270,neil kinnock,1
2051592131,jin dong yan,1
3869131749,frank ulrich montgomery,1
2059784470,cyntoria johnson,1
1996544893,joneigh khaldun,1
2159166123,al franken,1
719785861,jim webb,1
1397195506,ali nouri,1
963831476,mimi carre,1
2891040291,robin carre,1
1065395351,chris cuomo,1
4161920158,ms ong,1
2959075205,daniel lopez regalado,1
3549557604,summer johnson mcgee,1
581114033,isaac weisfuse,1
506596521,robert bollinger,1
4071954417,ginni mansberg,1
672622622,john bell,1
1754199066,andrea crisanti,1
3937996865,elliott tenpenny,1
3756845089,andrea andrea crisanti,1
1236174504,robin armstrong,1
3141024557,allison arwady,1
2313183637,jeffrey levi,1
2799066555,patrick armstrong,1
1798234723,jim down,1
1667512276,alex george,1
4286052987,joanna morrell,1
3321574188,ian hosegood,1
3291899056,lisa delamaine,1
630619524,jane tyson,1
2121010328,pete turkington,1
683062809,sarfaraz munshi,1
3515507804,jk rowling,1
2809254671,stuart ditchek,1
3167373770,beverley adams groom,1
2436269421,alison pittard,1
2969108724,david clark,1
4012926989,sacha stelzer braid,1
1050350075,euan tovey,1
2758165631,anne walters,1
164728738,steve parnis,1
325504609,vyom sharma,1
3815100183,klaus osterrieder,1
563927195,dan patrick,1
3784252835,bryan hughes,1
847434162,andy knox,1
3038928060,courtney cogburn,1
1750817642,jeffrey martin,1
1710412059,jenny abthorpe,1
2045301647,jon cohen,1
3068567381,ramzi khamis,1
649515517,sandesh gulhane,1
3031503089,alexander lukashenko,1
2708524691,jean francois delfraissy,1
3379078078,abdul mabud chowdhury,1
2523327858,ayache,1
707318531,william schaffner,1
653569210,andre sayegh,1
645324964,james pruden,1
3511084311,william mckoy,1
2046994284,vincent okafor,1
1230628713,harmandeep singh,1
864600727,john ashton,1
2898958582,paul cosford,1
3036942219,david rosser,1
4260439234,koert stittelaar,1
1470686782,sebastian yancev,1
1546902108,kayleigh mcenany,1
2102367837,sultan salimee,1
1211913873,gordon wishart,1
1089408609,magnus gisslen,1
1718360667,carl sydenhag,1
2562787091,denis protsenko,1
2819766980,david drew pinsky,1
989844556,jennifer vines,1
311804904,jesi kim,1
3410736660,richard viney,1
4203863423,alessandro colombo,1
3236573279,shamez ladhani,1
2387926503,luis diaz izquierdo,1
3316535777,julio mayol,1
3499440205,megan sandel,1
848761926,brian long,1
1567110173,rohini haar,1
3911021271,chad bianco,1
465959099,john mackenzie,1
1855754487,david hargroves,1
2691353346,john newton,1
802114252,jennifer avegno,1
855599240,gary price,1
1059525160,kristopher karnauskas,1
3630735949,harvey fineberg,1
3352617660,martha maccallum,1
3628712493,michael bonning,1
1593454231,tamer antakly,1
4127106406,mireya rodas,1
2741452154,john curtin,1
924836023,areema nasreen,1
1542923192,thomas harvey,1
1509211460,sunit singla,1
360834911,nick oberheiden,1
2154811726,jose maria cebrian,1
4251694478,simone wildes,1
2452473894,camille locht,1
2851032033,jean paul mira,1
2252194020,frank gabrin,1
4078417196,debra vasalech lyons,1
1145624560,arnold vargas gabrin,1
3735344813,steven van gucht,1
206042611,claire hopkins,1
149598226,suchi pandey,1
2046245625,pam cutler,1
1524742160,judy murray,1
3534141040,mitchell katz,1
3282852798,robert breunig,1
1303924021,michelle a albert,1
475514606,vanessa clifford,1
101606789,mark ghaly,1
3250226749,nicholas hoult,1
271477724,salaj masand,1
4000624207,gemma chan,1
4015794466,nick longrich,1
4057778745,brian williams,1
509470790,rob richardson,1
840205921,anthony costello,1
129393667,lewis marshall,1
2994810998,darien sutton,1
2609742200,peter papadakos,1
1292777021,dorian alexander,1
2597426939,tom britton,1
1950388677,fiona godlee,1
1146251404,carlos franco paredes,1
2241267453,james gill,1
2745157837,tom wingfield,1
3440530845,jonathon sumption,1
2984113778,chen chien jen,1
77710866,michael thrusfield,1
2417020490,mike gough,1
4236902286,w ian lipkin,1
606547801,robert gary,1
2172908852,jacinda ardern,1
3095778428,grete porteous,1
3336170847,angela gardner,1
1673189314,rob mccoy,1
970136443,rachel levine,1
2148837392,john inazu,1
2493613932,thibaud soumagne,1
457057255,bernard devalois,1
3439789,ian wilson,1
2281993957,meng yuan,1
1994465878,shubhra singh,1
3044506485,lynn goldman,1
825002092,scott weavil,1
1382203393,marc k siegel,1
1471013695,jeanine pirro,1
2444413450,sean hannity,1
3563296744,adam finn,1
578387634,megan kelsey,1
3796117293,tony narula,1
1934098883,david eisenman,1
3662375383,timmy cheng,1
1348545480,shawn nasseri,1
330218618,jenny harrell,1
1756930812,kylie wagstaff,1
1420090002,marynia kolak,1
2380948713,don williamson,1
2546171128,brian kelly,1
3080440748,mike linney,1
2062462351,josef penninger,1
509874567,susan edwards,1
4111465800,alberto montaner,1
2164508946,charlton heston,1
3662161800,melania trump,1
2621572662,nate smith,1
3735475419,ngozi ezike,1
2442374706,allan randrup thomsen,1
2172381819,kate tulenko,1
2432708566,tom hanks,1
2058389495,matt schlapp,1
2386163257,mike huckabee,1
1798527540,jeremy adler,1
3681764424,sophie richardson,1
1452301951,xu zhiyong,1
3067170340,doug collins,1
2144401073,lai heng foong,1
4043881703,andrew miller,1
520114027,wang xiaoshuang,1
555138713,greg hunt,1
486745491,danielle mcmullen,1
3533217674,stefan baral,1
29971359,neil de wet,1
2844524118,julian zelizer,1
2203743415,mark handley,1
1594985207,stephanie grisham,1
2187098791,muhammad mohsin,1
3911144103,deborah prothrow stith,1
1102485932,sarah huckabee sanders,1
527273915,yazdan yazdanpanah,1
94810658,steve monroe,1
2751343780,brandon brown,1
3960274962,frank wang,1
681155015,liu chuang,1
2296792471,john braden,1
54542418,mark dworkin,1
2464002695,stephen c morris,1
442256124,john g trump,1
