orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate
2803,keith hull,2,"[('keith hall', 90), ('steven keith platt', 86), ('keith whittington', 86), ('keith chappell', 75), ('keith willett', 70), ('keith neal', 70), ('kent', 68), ('keith jerome', 64), ('keith mortman', 64), ('kim', 60), ('katie hill', 60), ('kent collin', 57), ('ian hall', 56), ('kathie allen', 55), ('kenneth gillingham', 54), ('joneigh khaldun', 54), ('kelly', 53), ('brit hume', 53), ('kerrie huxham', 52), ('kevin hopland', 52)]",keith hall
2811,kelly,1,"[('mike kelly', 90), ('brian kelly', 90), ('chip kelly', 90), ('kellyanne conway', 90), ('paul kelly', 90), ('kelly loeffler', 90), ('kelly ripa', 90), ('kious kelly', 90), ('kelly cawcutt', 90), ('kelly goldsmith', 90), ('kelly evans', 90), ('ann keller', 72), ('kate kelland', 72), ('paul kellam', 72), ('kelley lee', 72), ('christopher kellner', 72), ('richard keller', 72), ('timothy keller', 72), ('kelli ward', 72), ('scott kelley', 72)]",kelly goldsmith
2846,kent,1,"[('kentaro iwata', 90), ('kent sepkowitz', 90), ('kent collin', 90), ('kent nishimura', 90), ('ken johnson', 74), ('ken doctor', 74), ('ken goldberg', 74), ('ken cuccinelli', 74), ('ken alibek', 74), ('kennedy ganti', 68), ('steven keith platt', 68), ('kenneth barish', 68), ('kenneth button', 68), ('kenneth bernard', 68), ('melissa kennedy', 68), ('keith willett', 68), ('kenneth gillingham', 68), ('kendall kiser', 68), ('becky kennedy', 68), ('ken milani', 68)]",kent sepkowitz
2854,kerry brown,2,"[('jerry brown', 91), ('brown', 90), ('peter conti brown', 86), ('candy gunther brown johnny', 86), ('jeremy brown', 78), ('sherrod brown', 75), ('ari brown', 70), ('greg brown', 67), ('emma brown', 67), ('bowman', 66), ('kerryn coleman', 64), ('kerry chant', 64), ('brian kelly', 61), ('kerri wizner', 61), ('kerry gateley', 59), ('michael brown', 59), ('russell brown', 59), ('brandon brown', 59), ('val pappas brown', 59), ('liliana brown', 59)]",jerry brown
2873,khan,1,"[('muqtedar khan', 90), ('ali khan', 90), ('allin khan', 90), ('umar khan', 90), ('sadiq khan', 90), ('shabana khan', 90), ('mahbuba khan', 90), ('imran khan', 90), ('indranil khan', 90), ('rosena allin khan', 90), ('kamran khan', 90), ('amir khan', 90), ('kang', 75), ('gabriel kahn', 68), ('munzer al khalil', 68), ('kranthi achanta', 68), ('atul kulkarni', 68), ('ramzi khamis', 68), ('jessica krant', 68), ('fu meng khaw', 68)]",rosena allin khan
2878,kim,1,"[('david kim', 90), ('yae jean kim', 90), ('kimberly powers', 90), ('kim farley', 90), ('alfred kim', 90), ('jesi kim', 90), ('kim jong un', 90), ('thomas kim', 90), ('j joseph kim', 90), ('ann marie kimball', 90), ('kim binsted', 90), ('kim dong yup', 90), ('kim reynolds', 90), ('robert j kim farley', 90), ('kimberly hanson', 90), ('kim dong bae', 90), ('david kimberlin', 90), ('pauline kim', 90), ('kim yi dionne', 90), ('robert kim farley', 90)]",robert j kim farley
2882,kim farley,2,"[('kim', 90), ('robert j kim farley', 90), ('robert kim farley', 90), ('claire jean kim', 86), ('kim hjelmgaard deaths', 86), ('frank farley', 73), ('thomas farley', 71), ('joel f farley', 71), ('alfred kim', 66), ('kim reynolds', 64), ('hadley king', 64), ('pauline kim', 64), ('william frey', 64), ('charlie kirk', 61), ('kimberly guilfoyle', 60), ('mark finley', 57), ('soo kim', 57), ('daniel kim', 57), ('jerome favre', 55), ('kathie allen', 55)]",robert j kim farley
2894,king,1,"[('yvonne king', 90), ('kayser enneking', 90), ('hadley king', 90), ('josh king', 90), ('jeff kingston', 90), ('carina king', 90), ('kim king smith', 90), ('dmitry korkin', 77), ('stephen kotkin', 77), ('kang', 75), ('kate bedingfield', 68), ('kenneth gillingham', 68), ('jason kindrachuk', 68), ('kathryn smerling', 68), ('kang xing jin', 68), ('ingrid katz', 68), ('jason kindrachuck', 68), ('elaine kinsella', 68), ('michael knight', 68), ('kin k leung', 68)]",kim king smith
2905,koichi nakano,2,"[('koiichi nakano', 96), ('khan', 68), ('kang', 68), ('chip kahn', 64), ('kim', 60), ('sachin nagrani', 59), ('girish nadkarni', 57), ('ali khan', 56), ('koushik kasanagottu', 56), ('navarro', 56), ('vipin narang', 56), ('koji wada', 55), ('kinsa', 54), ('nadia', 54), ('nancy', 54), ('khari sanford', 54), ('shinichi niwa', 54), ('karen', 54), ('natsuko imai', 53), ('nancy knight', 53)]",koiichi nakano
2942,kylie,1,"[('kylie wagstaff', 90), ('kylie jenner', 90), ('kylie ainslie', 90), ('kyle bass', 76), ('kyle edgar', 76), ('kayleigh mcenany', 72), ('susan kline', 72), ('munzer al khalil', 54), ('kimberly powers', 54), ('tim killian', 54), ('philippe klein', 54), ('r daniel kelemen', 54), ('kendall kiser', 54), ('sabra klein', 54), ('becky kennedy', 54), ('katie combs prichard', 54), ('charlie kirk', 54), ('cameron kaiser', 54), ('munther khalil', 54), ('natalie klein', 54)]",kylie wagstaff
3024,lee,1,"[('jena lee', 90), ('bruce y lee', 90), ('lee hyukmin', 90), ('barbara lee', 90), ('shawna lee', 90), ('erika lee', 90), ('lee duckhwan', 90), ('lee riley', 90), ('i min lee', 90), ('tenpao lee', 90), ('lee miringoff', 90), ('lee chang min', 90), ('mike lee', 90), ('christopher lee', 90), ('lee branstetter', 90), ('kelley lee', 90), ('teddy lee', 90), ('reutersjason lee beijing', 90), ('thomas lee', 90), ('rachael lee', 90)]",reutersjason lee beijing
3041,leonard,1,"[('leonard go', 95), ('leonard schleifer', 90), ('leonard berkowitz', 90), ('leonardo fernandez', 90), ('leonardo huertas', 90), ('randall s leonard', 90), ('stew leonard jr', 90), ('chunlin leonhard', 77), ('paul lombardo', 64), ('paul sandle london', 64), ('lauren gardner', 64), ('lori d', 62), ('lerner', 62), ('lona mody', 62), ('saul coronado de leon', 61), ('lee', 60), ('o leary', 57), ('josh lerner', 56), ('stuart lewena', 56), ('alan lerner', 56)]",leonard go
3049,lerner,1,"[('josh lerner', 90), ('alan lerner', 90), ('matthew lerner', 90), ('lee', 67), ('leonard', 62), ('leonard schleifer', 60), ('laurence steinberg', 60), ('leonard berkowitz', 60), ('catherine li', 60), ('david levine', 60), ('leonardo fernandez', 60), ('lebron james', 60), ('carole lieberman', 60), ('lee riley', 60), ('hagai levine', 60), ('leonardo huertas', 60), ('marissa levine', 60), ('leonard go', 60), ('lee branstetter', 60), ('rachel levine', 60)]",matthew lerner
3057,leung,1,"[('geoffrey leung', 90), ('leung yiu hong', 90), ('kin k leung', 90), ('gabriel leung', 90), ('ho pak leung', 90), ('leong hoe nam', 72), ('sean leng', 72), ('len horovitz', 64), ('langa', 60), ('levin', 60), ('lee', 60), ('ann leen', 60), ('liu', 60), ('liu liang', 57), ('leyi wang', 57), ('lerner', 55), ('daniel leussink tokyo', 54), ('lenox hill', 54), ('liang wannian', 54), ('leonard schleifer', 54)]",geoffrey leung
3059,levin,1,"[('jeff levin scherz', 90), ('david levine', 90), ('margot levin', 90), ('paul levinson', 90), ('hagai levine', 90), ('marissa levine', 90), ('rachel levine', 90), ('mark levin', 90), ('jessica levinson', 90), ('jeremy levin', 90), ('mark levine', 90), ('andrew levin', 90), ('david levin', 90), ('robert levin', 90), ('levitan', 83), ('retsef levi', 80), ('jeffrey levi', 80), ('lin', 75), ('adam levitin', 72), ('brice de le vingne', 72)]",jeff levin scherz
3068,li,1,"[('liang wannian', 90), ('rush limbaugh', 90), ('leslie beitsch', 90), ('li wenliang', 90), ('liza fazio', 90), ('liz allen', 90), ('lin', 90), ('lisa fazio', 90), ('lilian abbo', 90), ('fang li', 90), ('larry ellison', 90), ('li lanjuan', 90), ('marian liu', 90), ('liam smeeth', 90), ('lindsey baden', 90), ('scott lindquist', 90), ('lisa hernandez', 90), ('liz ann sonders', 90), ('sten linnarsson', 90), ('lindsey graham', 90)]",li wenliang
3071,li liang,2,"[('liu liang', 94), ('li', 90), ('liang wannian', 86), ('catherine li', 86), ('li wenliang zhu', 86), ('liang zong an', 86), ('li wenliang', 84), ('li keqiang', 78), ('fang li', 76), ('tim lang', 75), ('rhea liang', 73), ('langa', 72), ('ming lin', 71), ('lilian wu', 71), ('leyi wang', 71), ('li tan', 71), ('lilian peake', 68), ('philip landrigan', 68), ('phillip landrigan', 68), ('lillian riojas', 68)]",liu liang
3073,li wenliang,2,"[('li wenliang zhu', 95), ('li', 90), ('fang li', 86), ('li tan', 86), ('li liang', 84), ('liu liang', 80), ('li keqiang', 76), ('langa', 72), ('leyi wang', 70), ('lisa', 68), ('liang wannian', 67), ('alison whelan', 67), ('linfa wang', 67), ('leslie willingham', 66), ('tim lang', 63), ('lisa mellman', 61), ('lin', 60), ('ming lin', 60), ('wei jiang', 60), ('lilian wu', 60)]",li wenliang zhu
3088,lin,1,"[('lessandra michelin', 90), ('li', 90), ('leslie willingham', 90), ('lindsey baden', 90), ('scott lindquist', 90), ('lindsay broadbent', 90), ('sten linnarsson', 90), ('lindsey graham', 90), ('lindsay perez huber', 90), ('linda bauld', 90), ('perry link', 90), ('lina hidalgo', 90), ('linda aldoory', 90), ('lindsay wiley', 90), ('ming lin', 90), ('michael z lin', 90), ('linda alvarez', 90), ('linda lacina', 90), ('nathaniel line', 90), ('yorba linda', 90)]",michael z lin
3101,lindsey graham,2,"[('lindsey o graham', 95), ('li', 90), ('lin', 90), ('graham', 90), ('barney graham', 74), ('andrea graham', 74), ('billy graham', 69), ('gray', 68), ('lindsey baden', 67), ('peter graham', 64), ('linsey marr', 64), ('laura ingraham', 64), ('liu', 60), ('linda anegawa', 59), ('lindsay broadbent', 58), ('abraham l newman', 57), ('lisa ellram', 56), ('lindsay perez huber', 55), ('j nadine gracia', 55), ('ava louise', 55)]",lindsey o graham
3107,lisa,1,"[('li', 90), ('lisa fazio', 90), ('lisa hernandez', 90), ('lisa damour', 90), ('lisa r young', 90), ('lisa anderson', 90), ('lisa ellram', 90), ('lisa gitelman', 90), ('lisa santora', 90), ('lisa delamaine', 90), ('lisa jackson', 90), ('lisa lambert washington', 90), ('lisa maragakis', 90), ('lisa dabby', 90), ('lisa gualtieri', 90), ('lisa mellman', 90), ('lisa friedman', 90), ('lois ann welsh', 68), ('liang wannian', 68), ('jose luis mora', 68)]",lisa lambert washington
3113,lisa fazio,2,"[('li', 90), ('liza fazio', 90), ('lisa', 90), ('lisa lambert washington', 86), ('lazio', 72), ('louis falo', 70), ('lisa damour', 67), ('liam fox', 67), ('elissa fory', 67), ('melissa francis', 64), ('lisa santora', 64), ('lisa jackson', 64), ('patricia frazier', 63), ('michael collins fauci', 63), ('liu zi', 62), ('lisa anderson', 61), ('lisa friedman', 61), ('lin', 60), ('louis katz', 60), ('stefano fagiuoli', 60)]",liza fazio
3125,liu,1,"[('li', 90), ('marian liu', 90), ('liu liang', 90), ('bruce liu', 90), ('liu chuang', 90), ('liu zi', 90), ('liu xuerong', 90), ('gordon liu', 90), ('fengyong liu', 90), ('fang li', 72), ('jason li', 72), ('peter li', 72), ('lin', 67), ('ralph lauren', 60), ('chris luke', 60), ('lessandra michelin', 60), ('lois ann welsh', 60), ('mark lurie', 60), ('liang wannian', 60), ('jose luis mora', 60)]",fengyong liu
3135,liza fazio,2,"[('li', 90), ('lisa fazio', 90), ('lazio', 72), ('lisa', 68), ('liam fox', 67), ('patricia frazier', 63), ('liu zi', 62), ('lin', 60), ('louis falo', 60), ('liu', 60), ('lilian abbo', 57), ('lisa damour', 57), ('elissa fory', 57), ('fang li', 56), ('melissa francis', 56), ('liz kolb', 56), ('lina hidalgo', 55), ('linda lacina', 55), ('lila davachi', 55), ('linda canina', 55)]",lisa fazio
3136,lo,1,"[('lois ann welsh', 90), ('lopez regalado', 90), ('brian long', 90), ('loren miller', 90), ('louis katz', 90), ('nicolas locker', 90), ('lori d', 90), ('lopez gatell', 90), ('mary lovely', 90), ('john logan', 90), ('lorenzo guerini', 90), ('lomanowska', 90), ('lois parshley', 90), ('louis gerolemou', 90), ('kathy lofy', 90), ('patrice louvet', 90), ('luca lorini', 90), ('jennifer lo', 90), ('trevon logan', 90), ('lorenzo paladino', 90)]",jennifer lo
3160,lowe,1,"[('lo', 90), ('joe lowery', 90), ('philip lowe', 90), ('john lowe', 90), ('larry kudlow', 77), ('sarah low', 77), ('nicola low', 77), ('nick low', 77), ('lopez regalado', 68), ('loren miller', 68), ('daniel lopez regalado', 68), ('stuart lewena', 68), ('lopez gatell', 68), ('mary lovely', 68), ('lorenzo guerini', 68), ('lokesh kumar sharma', 68), ('lorenzo paladino', 68), ('lorenzo gonzalez', 68), ('lorenzo leggio', 68), ('claudia lodesani', 68)]",philip lowe
3184,lyons,1,"[('vaselech lyons', 90), ('debra vasalech lyons', 90), ('debra vaselech lyons', 90), ('marshall lyon', 80), ('david llewellyn smith', 72), ('lucy jones', 67), ('ken lyn kew', 64), ('kevin lynn', 60), ('marcelle layton', 60), ('lo', 57), ('lois ann welsh', 54), ('nelson l michael', 54), ('leong hoe nam', 54), ('leonard schleifer', 54), ('brian long', 54), ('lionel p robert jr', 54), ('loren miller', 54), ('louis katz', 54), ('leonard berkowitz', 54), ('marc lamont hill', 54)]",debra vasalech lyons
3185,lopez obrador,2,"[('lo', 90), ('andres manuel lopez obrador', 90), ('daniel lopez regalado', 86), ('lopez regalado', 74), ('lowe', 68), ('lorenzo berra', 62), ('joe osborne', 58), ('lopez gatell', 56), ('liz kolb', 56), ('lorenzo paladino', 55), ('lorenzo grazioli', 55), ('obama', 54), ('peter osborne', 54), ('paul lombardo', 54), ('o grady', 53), ('lionel p robert jr', 52), ('leonard go', 52), ('leopoldo agraz', 52), ('lee norman', 52), ('ocasio cortez', 51)]",andres manuel lopez obrador
3186,lopez regalado,2,"[('daniel lopez regalado', 90), ('lo', 90), ('andres manuel lopez obrador', 86), ('lopez obrador', 74), ('lopez gatell', 69), ('lowe', 68), ('lorenzo paladino', 67), ('joe rogan', 60), ('lorenzo leggio', 57), ('lazio', 54), ('robert gallo', 54), ('roland more', 53), ('lorenzo gonzalez', 53), ('replay more videos', 53), ('lorenzo grazioli', 53), ('lacie gregory', 52), ('sophie richardson', 52), ('lorenzo berra', 52), ('lee riley', 50), ('lori peek', 50)]",daniel lopez regalado
3190,maciej boni,2,"[('maciej f boni', 95), ('mike debonis', 70), ('angie bone', 67), ('michael bonning', 62), ('michele bonizzi', 62), ('john mackenzie', 61), ('marc benioff', 61), ('ari brown', 60), ('michael brown', 58), ('stacie san miguel', 58), ('john mcbride', 58), ('emma brown', 57), ('marie land', 57), ('marci hamilton', 56), ('maria bottazzi', 56), ('gianni bonelli', 56), ('massimo zambon', 56), ('michel barnier', 56), ('renate mai dalton', 55), ('mike catton', 55)]",maciej f boni
3206,maia majumder,2,"[('maimuna majumder', 90), ('matija snuderl', 67), ('marcia imbeau', 62), ('mattia', 60), ('michael brauer', 59), ('marianne hamra', 59), ('jaouad mahjour', 59), ('marick masters', 59), ('martin sturmer', 59), ('atiya mosam', 58), ('marcia o malley', 57), ('karla mckanders', 57), ('mohammad madjid', 57), ('michael j buchmeier', 56), ('mariah carey', 56), ('david muller', 56), ('martha kumar', 56), ('marvin malek', 56), ('madina nagar', 56), ('martha maccallum', 55)]",maimuna majumder
3220,manuel,1,"[('jose manuel vera', 90), ('emmanuel macron', 90), ('manuel orozco', 90), ('andres manuel lopez obrador', 90), ('manuel pastor', 90), ('manuel franco', 90), ('howie mandel', 75), ('mandl', 73), ('manu gautam', 68), ('susan macmanus', 66), ('john manly', 66), ('munnell', 62), ('monique', 62), ('morante', 62), ('magnus fiskesjo', 60), ('joseph margulies', 60), ('miguel betancourt', 60), ('ginni mansberg', 60), ('luiz henrique mandetta', 60), ('carolyn maloney', 60)]",andres manuel lopez obrador
3233,marc lipsitch,2,"[('mark lipsitch', 92), ('li', 90), ('michigan marc lipsitch', 90), ('marc alain widdowson', 86), ('marc elias', 70), ('mark smith', 70), ('mark ali', 68), ('marr', 68), ('marco di', 68), ('lisa', 68), ('mark veitch', 67), ('marc suchard', 64), ('mrs ali', 64), ('mark lewis', 61), ('marc short', 61), ('lin', 60), ('liu', 60), ('mark smolinski', 59), ('marcia flicker', 59), ('marcel salathe', 59)]",mark lipsitch
3236,marc siegel,2,"[('marc k siegel', 95), ('siegel', 90), ('robert david siegel', 86), ('michigan marc lipsitch', 86), ('marc alain widdowson', 86), ('michael siegel', 72), ('paul spiegel', 70), ('mary ziegler', 70), ('marr', 68), ('david spiegel', 67), ('robert siegel', 67), ('marc elias', 67), ('jeremy siegel', 67), ('marco di', 63), ('brennan spiegel', 62), ('marco cambielli', 62), ('barbara stengel', 62), ('sunil kumar', 61), ('mary stephen', 61), ('apryl steele', 61)]",marc k siegel
3262,margot,1,"[('margot levin', 90), ('margot roosevelt', 90), ('margo anderson', 78), ('michael marmot', 75), ('marr', 68), ('martin', 67), ('aileen marty', 66), ('marc short', 62), ('marti cetron', 62), ('ma ngok', 62), ('marty fentersheib', 62), ('marty conway', 62), ('marco cambielli', 62), ('mario alparone', 62), ('marty cetron', 62), ('mauro guillen', 62), ('marty fenstersheib', 62), ('marta feldmesser', 60), ('mark t esper', 60), ('philippines imelda marcos', 60)]",margot roosevelt
3308,mark escott,2,"[('mark e escott', 95), ('mark lawrence schrad', 86), ('advertisement mark', 86), ('mark jarrett', 70), ('mark denison', 70), ('marr', 68), ('marc short', 67), ('mark fretz', 67), ('mark simon', 67), ('mark steyn', 67), ('mark lewis', 67), ('mark smith', 67), ('mark hurst', 67), ('mark jones', 67), ('mark esper', 67), ('mark t esper', 66), ('mark wilson', 64), ('mark eisner', 64), ('mark ali', 64), ('mark naison', 64)]",mark e escott
3309,mark esper,2,"[('mark t esper', 95), ('mark lawrence schrad', 86), ('mark j mulligan', 86), ('mark zuckerberg', 86), ('mark eisner', 86), ('mark s sklansky', 86), ('mark kortepeter', 86), ('mark hallenbeck', 86), ('advertisement mark', 86), ('frank esper', 76), ('mark steyn', 70), ('mark lewis', 70), ('mark green', 70), ('mark jones', 70), ('marta feldmesser', 68), ('marr', 68), ('markus brunnermeier', 68), ('mark escott', 67), ('marick masters', 67), ('mark levine', 67)]",mark t esper
3313,mark green,2,"[('mark greeven', 91), ('mark kortepeter', 86), ('advertisement mark', 86), ('mark lawrence schrad', 86), ('mark s sklansky', 86), ('mark zuckerberg', 86), ('mark j mulligan', 86), ('mark hallenbeck', 86), ('lauren green', 73), ('mark fretz', 70), ('michael green', 70), ('mark esper', 70), ('mark lurie', 70), ('mark steyn', 70), ('mark levin', 70), ('adam green', 70), ('marr', 68), ('mark duggan', 67), ('donna green', 67), ('mark arsenault', 67)]",mark greeven
3329,mark levin,2,"[('mark levine', 95), ('levin', 90), ('mark kortepeter', 86), ('advertisement mark', 86), ('mark lawrence schrad', 86), ('jeff levin scherz', 86), ('mark s sklansky', 86), ('mark zuckerberg', 86), ('mark j mulligan', 86), ('mark hallenbeck', 86), ('margot levin', 82), ('mark lewis', 80), ('mark ali', 78), ('mark lennihan', 78), ('mark eisner', 76), ('marissa levine', 75), ('mark greeven', 73), ('mark denison', 73), ('andrew levin', 73), ('mark mulligan', 70)]",mark levine
3332,mark lipsitch,2,"[('marc lipsitch', 92), ('li', 90), ('mark lawrence schrad', 86), ('mark ali', 86), ('michigan marc lipsitch', 86), ('mark smith', 78), ('mark veitch', 75), ('mark lewis', 70), ('marr', 68), ('lisa', 68), ('mark smolinski', 67), ('saint mark', 66), ('mark parrish', 64), ('mrs ali', 64), ('mark lennihan', 62), ('mark hurst', 61), ('mark simon', 61), ('nick mark', 61), ('marc elias', 61), ('mark lurie', 61)]",marc lipsitch
3336,mark mulligan,2,"[('mark j mulligan', 95), ('mark lawrence schrad', 86), ('mark ali', 86), ('mark duggan', 75), ('mark mcclellan', 74), ('mark hyman', 70), ('mark levin', 70), ('mark cuban', 70), ('mark lennihan', 69), ('marr', 68), ('mark smolinski', 67), ('mark ingram', 67), ('mark slifka', 67), ('mark levine', 67), ('mark miller', 67), ('mauro guillen', 62), ('mark lurie', 61), ('mark simon', 61), ('mark lewis', 61), ('mark smith', 61)]",mark j mulligan
3355,marr,1,"[('jeanne marrazzo', 90), ('linsey marr', 90), ('marryum mahmood', 90), ('andrew marr programme', 90), ('mara altman', 68), ('marshall prunty', 68), ('marta feldmesser', 68), ('mark t esper', 68), ('mark rumble', 68), ('morris cohen', 68), ('philippines imelda marcos', 68), ('maurizio cecconi', 68), ('bob marley', 68), ('mark lurie', 68), ('marc short', 68), ('aileen marty', 68), ('mary anastasia o grady', 68), ('marty makary', 68), ('marti cetron', 68), ('marty stallone', 68)]",andrew marr programme
3358,marshall,1,"[('marshall prunty', 90), ('martin marshall', 90), ('marshall steinbaum', 90), ('adam marshall', 90), ('lewis marshall', 90), ('larry marshall', 90), ('marshall watson', 90), ('marshall lyon', 90), ('steven marshall', 90), ('marsha cohen', 74), ('marr', 68), ('mark hallenbeck', 68), ('mark ghaly', 67), ('mrs ali', 67), ('marty stallone', 64), ('martha mcsally', 64), ('mark ali', 62), ('marc suchard', 60), ('mark handley', 60), ('mary cushman', 60)]",marshall steinbaum
3367,marti cetron,2,"[('martin cetron', 96), ('marty cetron', 92), ('cetron', 90), ('martin', 78), ('maria cheng', 70), ('marr', 68), ('mariana chilton', 67), ('marty conway', 67), ('marybeth sexton', 67), ('martin mckee', 67), ('martin carballo', 67), ('martin weller', 64), ('martin blaser', 64), ('maurizio cecconi', 64), ('maria pena', 64), ('stacia martin west', 63), ('margo anderson', 62), ('martin sturmer', 62), ('marci hamilton', 62), ('marty stallone', 62)]",martin cetron
3368,martin,1,"[('martin marshall', 90), ('martin hibberd', 90), ('martin s hirsch', 90), ('ivan martinez', 90), ('martin weller', 90), ('laura martinez', 90), ('rick martinello', 90), ('philip martin rosoff', 90), ('greg martin', 90), ('jose martinez salas', 90), ('richard martinello', 90), ('reutersdylan martinez london', 90), ('jeffrey martin', 90), ('martin zand', 90), ('martin mckee', 90), ('martin fenstersheib', 90), ('martin sturmer', 90), ('martin makary', 90), ('martin blaser', 90), ('stacia martin west', 90)]",philip martin rosoff
3383,marty cetron,2,"[('marti cetron', 92), ('cetron', 90), ('martin cetron', 88), ('marty fenstersheib', 86), ('marty conway', 75), ('marty stallone', 69), ('marr', 68), ('erin mccarthy', 68), ('marybeth sexton', 67), ('randy cron', 64), ('gary cohan', 64), ('aileen marty', 64), ('marty fentersheib', 62), ('margo anderson', 62), ('margot', 62), ('martin', 62), ('mary stevenson', 62), ('maria cheng', 61), ('marya patrice sherron', 61), ('mark carney', 61)]",marti cetron
3386,marty fentersheib,2,"[('marty fenstersheib', 97), ('martin fenstersheib', 89), ('marty walsh', 86), ('marr', 68), ('art fougner', 66), ('gary foster', 66), ('mark fretz', 63), ('mary stephen', 62), ('margot', 62), ('martin', 62), ('marty cetron', 62), ('marta feldmesser', 61), ('ai fen', 60), ('matthew schreiber', 59), ('mark eisner', 58), ('mary e schmidt', 58), ('mary walter', 58), ('mark finley', 58), ('mark levine', 58), ('marc futernick', 58)]",marty fenstersheib
3410,marylouise mclaws,2,"[('mary louise mclaws', 97), ('mclaws', 90), ('marr', 68), ('mark lurie', 63), ('margot', 60), ('mayorquin', 60), ('marie land', 59), ('mary lovely', 58), ('linsey marr', 58), ('carlos melo', 58), ('mayor de blasio', 56), ('mark ali', 56), ('marco di', 56), ('carsten murawski', 55), ('marise payne', 55), ('matthew baylis', 55), ('mary bousted', 55), ('nicolas maduro', 55), ('mary cushman', 55), ('mandl', 54)]",mary louise mclaws
3443,matthew freeman,2,"[('matthew frieman', 93), ('matt frieman', 81), ('matthew fox', 74), ('matthew bai', 74), ('andrew freedman', 73), ('will freeman', 70), ('matthew baum', 70), ('matthew lerner', 69), ('matthew schreiber', 69), ('daniel freeman', 69), ('matthew seeger', 69), ('matthew baldwin', 67), ('matthew cartter', 67), ('matthew jackson', 67), ('matthew barreto', 67), ('matthew kennedy', 67), ('matthew abinante', 65), ('matthew kavanagh', 65), ('benny mathew', 64), ('frieden', 64)]",matthew frieman
3444,matthew frieman,2,"[('matthew freeman', 93), ('matt frieman', 89), ('matthew fox', 74), ('matthew bai', 74), ('matthew abinante', 71), ('matthew baum', 70), ('matthew lerner', 69), ('matthew schreiber', 69), ('misha friedman', 69), ('fife', 68), ('matthew baldwin', 67), ('matthew cartter', 67), ('matt brim', 67), ('matthew jackson', 67), ('tom friedman', 67), ('matthew aldrich', 67), ('matthew bidwell', 67), ('matthew barreto', 67), ('andrew freedman', 67), ('matthew kennedy', 67)]",matthew freeman
3467,mcbride,1,"[('michael mcbride', 90), ('john mcbride', 90), ('michel barnier', 57), ('gordon mccord', 56), ('shane paul mcghie', 56), ('mike', 55), ('ann marie kimball', 53), ('mr president', 53), ('mary o brien', 53), ('dagen mcdowell', 51), ('mike dewine', 51), ('jolion mcgreevy', 51), ('ivan martinez', 51), ('muriel medard', 51), ('maria da gloria teixeira', 51), ('laurie mcginley', 51), ('anne marie gloster', 51), ('laura martinez', 51), ('mariell jessup', 51), ('warwick mckibbin', 51)]",michael mcbride
3470,mcgill johnson,2,"[('alexis mcgill johnson', 90), ('johnson', 90), ('john', 90), ('bethany rittle johnson', 86), ('christine kreuder johnson', 86), ('ken johnson', 74), ('liz johnson', 74), ('jones', 72), ('krys johnson', 70), ('carolyn johnson', 69), ('john snow', 68), ('helgi johannsson', 67), ('cyntoria johnson', 67), ('boris johnson', 67), ('sarah johnson', 66), ('christine johnson', 65), ('johnson roberson', 64), ('robert r johnson', 64), ('christine k johnson', 64), ('kenneth johnson', 64)]",alexis mcgill johnson
3471,mclaws,1,"[('marylouise mclaws', 90), ('mary louise mclaws', 90), ('mcelnay', 62), ('marc elias', 62), ('nicolas maduro', 62), ('anne mcclain', 60), ('henry mcmaster', 60), ('carsten murawski', 60), ('alejandro macias', 60), ('katie mclaughlin', 60), ('naser mhawish', 60), ('susan mcclary', 60), ('phil mcgraw', 60), ('kenneth mori mcelwain', 60), ('steve mclaughlin', 60), ('michael mclaughlin', 60), ('carolyn mcclanahan', 60), ('robert m mcnab', 50), ('paul mckay', 50), ('michael wilson', 50)]",mary louise mclaws
3483,mehta,1,"[('sanjay mehta', 90), ('nisha mehta', 90), ('ninfa mehta', 90), ('metra', 80), ('aldo munoz armenta', 72), ('meghan a novisky', 72), ('mehmet oz', 57), ('muze hair', 57), ('mattia', 55), ('medina', 55), ('marta feldmesser', 54), ('melita vujnovic', 54), ('philippines imelda marcos', 54), ('rory medcalf', 54), ('cristina monet zilkha', 54), ('fran mihaljevic', 54), ('michael lebeau', 54), ('nelson l michael', 54), ('michael matthay', 54), ('michael j buchmeier', 54)]",sanjay mehta
3506,michael ackerman,2,"[('michael j ackerman', 95), ('michael ng', 86), ('michael wasserman', 85), ('michael baker', 83), ('michael ryan', 79), ('michael karcher', 77), ('michael waldman', 77), ('michael a cusumano', 76), ('michael baden', 76), ('michel', 75), ('michael brauer', 73), ('michael marmot', 73), ('michael carome', 73), ('michelle baker', 73), ('michael j ryan', 73), ('michelle ackerley', 73), ('michel yao', 72), ('michael barr', 71), ('michael barbaro', 71), ('michael kalafer', 71)]",michael j ackerman
3510,michael barnett,2,"[('michael l barnett', 95), ('michael ng', 86), ('michael bennet', 83), ('michel barnier', 83), ('michael barr', 81), ('michael jerrett', 80), ('michael brown', 79), ('michael baker', 79), ('michael baden', 79), ('michael brauer', 76), ('michael marmot', 76), ('michael carome', 76), ('michael levitt', 76), ('michael pettis', 76), ('michel', 75), ('michael roth', 74), ('michael ryan', 74), ('michael barbaro', 73), ('michael karcher', 73), ('michael mcbride', 73)]",michael l barnett
