orig_index,raw_name,num_words,top20_candidates_with_score,possible_candidate
190,allin khan,2,"[('khan', 90), ('rosena allin khan', 90), ('ali khan', 89), ('amir khan', 74), ('allison k hoffman', 74), ('ayatollah ali khamenei', 72), ('alison whelan', 70), ('sadiq khan', 70), ('imran khan', 70), ('alison holman', 70), ('ali hassan', 70), ('kang', 68), ('allen cheng', 67), ('alan herman', 67), ('allan lichtman', 67), ('kamran khan', 67), ('shabana khan', 64), ('kent collin', 64), ('anita allen', 64), ('alina alonso', 64)]",rosena allin khan
215,ambrose talisuna,2,"[('ambrose otau talisuna', 95), ('ali', 90), ('tao lina', 68), ('mrs ali', 64), ('jose a tapia', 61), ('rosena allin khan', 61), ('abe', 60), ('travis', 60), ('robert talisse', 60), ('amy', 60), ('ala', 60), ('amir ali', 58), ('taison bell', 56), ('tali sharot', 56), ('alberto bisin', 55), ('gabriele tomasoni', 55), ('harris ali', 54), ('amler', 54), ('marina abramovic', 53), ('jared a ellias', 53)]",ambrose otau talisuna
218,ami jones,2,"[('jones', 90), ('mailonline ami jones', 90), ('j stephen jones', 86), ('camara phyllis jones', 86), ('megan jones bell', 86), ('tom jones', 78), ('ian jones', 78), ('mark jones', 74), ('alan jones', 74), ('kate jones', 74), ('amira roess', 70), ('john', 68), ('amy stone', 67), ('lucy jones', 67), ('joe amon', 67), ('hilary jones', 67), ('jolene', 66), ('james cai', 64), ('joe cunningham', 64), ('angie bone', 63)]",mailonline ami jones
228,amler,1,"[('robert amler', 90), ('sherlita amler', 90), ('robert w amler', 90), ('allison chamberlain', 72), ('daniel alpert', 72), ('adam levitin', 72), ('michelle a albert', 72), ('albert rizzo', 72), ('alberto bisin', 72), ('jason adler', 72), ('african american', 72), ('angela merkel', 72), ('jeremy adler', 72), ('albert williams', 72), ('alberto montaner', 72), ('albert chang', 72), ('josh adler', 72), ('tamer antakly', 72), ('albert chan', 72), ('alberto dicochea', 72)]",sherlita amler
229,amy,1,"[('amy dalton', 90), ('amy plasencia', 90), ('amy herold', 90), ('amy stone', 90), ('amy klobuchar', 90), ('amy r sapkota', 90), ('amy lessen', 90), ('amy acton', 90), ('amy castro baker', 90), ('amy robach', 90), ('amy morrison', 90), ('amy mcgrath', 90), ('amy goldstein', 90), ('amy cohen', 90), ('amy cho', 90), ('amy mathers', 90), ('amy compton phillips', 90), ('amy action', 90), ('allison chamberlain', 60), ('william a jacobson', 60)]",amy compton phillips
231,amy acton,2,"[('amy action', 95), ('amy', 90), ('amy castro baker', 86), ('amy compton phillips', 86), ('amy dalton', 84), ('amy stone', 78), ('amy cohen', 78), ('amy cho', 75), ('andy atkeson', 67), ('amy robach', 63), ('amir yaron', 63), ('william a jacobson', 60), ('silvana agatone', 60), ('alec watson', 60), ('ayache', 60), ('amiyatosh purnanandam', 60), ('amy mcgrath', 60), ('amy mathers', 60), ('anthony', 59), ('amir attaran', 57)]",amy action
258,anastasia vasilieva,2,"[('anastasia vasilyeva', 95), ('anastasia miksyuk', 66), ('mary anastasia o grady', 61), ('ali', 60), ('ala', 60), ('natali aziz', 58), ('amir ali', 56), ('mark ali', 56), ('antonia ho', 54), ('adams', 54), ('ava louise', 54), ('anasse bari', 53), ('nadia abuelezam', 53), ('anita allen', 53), ('oscar valles', 52), ('ashwin vasan', 52), ('anissa davis', 52), ('sania ashraf', 52), ('kamiar alaei', 52), ('anita isaacs', 52)]",anastasia vasilyeva
259,anastasia vasilyeva,2,"[('anastasia vasilieva', 95), ('anastasia miksyuk', 67), ('mary anastasia o grady', 61), ('ala', 60), ('natali aziz', 58), ('antonia ho', 54), ('dan ariely', 54), ('adams', 54), ('anasse bari', 53), ('nadia abuelezam', 53), ('anita allen', 53), ('oscar valles', 52), ('ashwin vasan', 52), ('anissa davis', 52), ('sania ashraf', 52), ('anita isaacs', 52), ('ashley arn', 51), ('sylvia owusu ansah', 51), ('alfa sa', 51), ('anat admati', 50)]",anastasia vasilieva
262,anderson,1,"[('roy anderson', 90), ('gerard anderson', 90), ('danielle anderson', 90), ('christopher anderson', 90), ('lisa anderson', 90), ('anderson cooper', 90), ('stephen anderson', 90), ('margo anderson', 90), ('scott anderson', 90), ('bruce anderson', 90), ('chris anderson', 90), ('eric anderson', 90), ('kristian andersen', 79), ('andrew preston', 73), ('jason adler', 70), ('andy atkeson', 70), ('nicole alexander scott', 68), ('alexander isakov', 68), ('anders tegnell', 68), ('alexander scott', 68)]",christopher anderson
267,andrea crisanti,2,"[('andrea andrea crisanti', 95), ('andrew crane', 74), ('andrew chan', 69), ('andrew chesnut', 69), ('cara christ', 69), ('andrea vena', 67), ('kristian andersen', 66), ('andrew hastie', 64), ('andrea graham', 64), ('andrew kipnis', 64), ('andrew gibson', 64), ('andrea hricko', 64), ('andrew winton', 64), ('andrew rambaut', 62), ('andrew saul', 62), ('andrew preston', 62), ('andrew wehrman', 62), ('andre kalil', 62), ('andrew coggins', 62), ('anderson', 61)]",andrea andrea crisanti
